tipo,pregunta,respuesta,fuente
respuesta_directa,¿Dónde está la secretaría?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Cuándo empiezan las clases del primer semestre?,Las clases del primer semestre comienzan el lunes 6 de septiembre.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Qué documentos se necesitan para la matrícula?,"Se necesita la siguiente documentación para la matrícula:

1. Certificación académica oficial de los estudios realizados, con calificaciones y nota media aprobatoria.
2. Programa de las asignaturas aprobadas, sellado y diligenciado por el centro donde se impartió.
3. Pasaporte, DNI/NIE (o certificación de los Servicios Consulares para estudiantes extranjeros).
4. Resguardo de haber solicitado plaza.",C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24031.pdf
respuesta_directa,¿Dónde se encuentra la biblioteca universitaria?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿A qué hora abre el comedor universitario?,El comedor universitario abre de lunes a viernes de 13:00 a 16:00 horas.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuáles son las asignaturas del segundo cuatrimestre?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Dónde se solicita una beca?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS25790.pdf
respuesta_directa,¿Cómo se tramita un cambio de titulación?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\cambios-titulacion\cambios-titulacion-22-23-4.pdf
respuesta_directa,¿Se puede aparcar en el campus?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuándo se publica el calendario de exámenes?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\tramites\examenes_comunes_primer_semestre.pdf
respuesta_directa,¿Donde está la Universidad?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Donde esta la secretaría?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Dónde es?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Qué pasa al final?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Es obligatorio?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿A qué hora?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Cuándo se hace?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
fuera_de_contexto,¿Cuál es el precio del Bitcoin?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién ganó Eurovisión 2023?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién escribió “Cien años de soledad”?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Cuántos habitantes tiene Canadá?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
fuera_de_contexto,¿Quién inventó el fútbol?,Esta pregunta no está relacionada con los documentos universitarios proporcionados.,-
encadenada,¿Dónde se hace la matrícula?,La matrícula se realiza a través de la página web de automatrícula.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
encadenada,¿Y qué documentos necesito?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17394.pdf
encadenada,¿Cuándo abre el plazo?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
encadenada,¿Y dónde se entrega?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
encadenada,¿A qué correo hay que enviarlo?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
