tipo,pregunta,respuesta,fuente
respuesta_directa,matrícula,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,asignaturas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,créditos ECTS,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,expediente,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,calendario académico,"El calendario académico es el siguiente:

**Primer semestre:**
- Comienzo de clases: lunes 6 de septiembre
- Finalización de clases: miércoles 22 de diciembre

**Segundo semestre:**
- Comienzo de clases: lunes 31 de enero
- Finalización de clases: viernes 20 de mayo

**Días festivos:**
- 29 MAR: Viernes Santo
- 01 MAY: Día del Trabajo
- 02 MAY: Fiesta de la Comunidad de Madrid
- 03 MAY: Día no lectivo
- 15 MAY: San Isidro Labrador
- 25 JUL: Santiago Apóstol
- 15 AGO: La Asunción de Nuestra Señora

**Ampliación restringida de matrícula:**
- Para estudios oficiales con admisión en el segundo semestre, asignaturas con docencia duplicada, TFG, TFM, Prácticas académicas externas curriculares y EPAC. Máximo de 12 ECTS de asignaturas de segundo semestre.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,convocatoria,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,actas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,segunda matrícula,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,reconocimiento de créditos,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,secretaría,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,carné universitario,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,certificado,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,devolución de tasas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,permanencia,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,traslados,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,becas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,normativa,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Politécnica Virtual,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,repositorio de software,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,VPN,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,correo institucional,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,biblioteca,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,aula virtual,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,delegado,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Consejo de Estudiantes,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Delegación,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,actividades acreditables,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,representación estudiantil,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,comedor universitario,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Secretaría de Alumnos,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Bloque VIII,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Edificio Prisma,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Aula 1001,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,pabellón deportivo,"El pabellón polideportivo del Campus Sur consta de diversas instalaciones deportivas, tanto cubiertas como al aire libre, incluyendo pistas de fútbol sala, baloncesto, voleibol, tenis, squash, salas de musculación, artes marciales y bailes. Ofrece una gran variedad de actividades y la posibilidad de alquilar las pistas. El horario es de lunes a viernes de 9 a 21 y sábados de 9 a 14.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,cafetería,"La cafetería cuenta con un aforo de 250 personas, microondas de acceso libre y gratuito, autoservicio de comidas operativo de 13:00 a 16:00 con un menú que incluye un primer plato, un segundo plato, postre, bebida, cubiertos y pan por 5,20€, y un servicio de barra operativo de 8:00 a 20:00 horas. Su horario durante el curso es de lunes a viernes de 8 a 20 horas.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
