tipo,pregunta,respuesta,fuente
respuesta_directa,matrícula,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,asignaturas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,créditos ECTS,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,expediente,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,calendario académico,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\CalendarioAcademico\SFS13372.pdf
respuesta_directa,convocatoria,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,actas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,segunda matrícula,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,reconocimiento de créditos,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,secretaría,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,carné universitario,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,certificado,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,devolución de tasas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,permanencia,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,traslados,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,becas,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,normativa,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Politécnica Virtual,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,repositorio de software,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,VPN,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,correo institucional,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,biblioteca,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,aula virtual,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,delegado,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Consejo de Estudiantes,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Delegación,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,actividades acreditables,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,representación estudiantil,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,comedor universitario,"El comedor universitario ofrece un menú de autoservicio operativo de lunes a viernes de 13:00 a 16:00, con un precio de 5,20€. Además, se ofrecen ayudas de comedor que reducen el coste del menú a 2,65€ durante todo el semestre.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Secretaría de Alumnos,"La Secretaría de Alumnos se encuentra en el Bloque VIII, planta baja, y se encarga de los trámites administrativos relacionados con los estudiantes. Su horario de atención es de lunes a viernes de 9 a 14 horas.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Bloque VIII,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,Edificio Prisma,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,Aula 1001,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,pabellón deportivo,"El pabellón polideportivo del Campus Sur consta de diversas instalaciones deportivas, tanto cubiertas como al aire libre, y ofrece una gran variedad de actividades durante todo el curso, así como la posibilidad de alquilar las pistas deportivas.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,cafetería,"La cafetería cuenta con un aforo de 250 personas, microondas de acceso libre y gratuito, autoservicio de comidas operativo de 13:00 a 16:00 con un menú que cuesta 5,20€, y un servicio de barra operativo de 8:00 a 20:00 horas, de lunes a viernes.",C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
